,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025
Insurance Reimbursements,429800,433706,437616,441522,445429,449336,453244,457151,461058,438081,441765,472780
Patient Payments,184200,185874,187549,189223,190898,192572,194248,195922,197597,187749.55,189327.65,202620
Drug Purchases,-180000,-181636,-183273,-184909,-186545,-188182,-189818,-191455,-193091,-194727,-196364,-198000
Surgical Supplies & IOLs,-30000,-30273,-30545,-30818,-31091,-31364,-31636,-31909,-32182,-32455,-32727,-33000
Optical Goods,-6000,-6055,-6109,-6164,-6218,-6273,-6327,-6382,-6436,-6491,-6545,-6600
Staff Wages & Benefits,-115000,-116045,-117091,-118136,-119182,-120227,-121273,-122318,-123364,-124409,-125455,-126500
Billing & Coding Vendors,-24000,-24218,-24436,-24655,-24873,-25091,-25309,-25527,-25745,-25964,-26182,-26400
Rent & Utilities,-20000,-20182,-20364,-20545,-20727,-20909,-21091,-21273,-21455,-21636,-21818,-22000
Technology,-15000,-15136,-15273,-15409,-15545,-15682,-15818,-15955,-16091,-16227,-16364,-16500
Insurance,-12000,-12109,-12218,-12327,-12436,-12545,-12655,-12764,-12873,-12982,-13091,-13200
Equipment Service & Leases,-10000,-10091,-10182,-10273,-10364,-10455,-10545,-10636,-10727,-10818,-10909,-11000
Marketing & Outreach,-8000,-8073,-8145,-8218,-8291,-8364,-8436,-8509,-8582,-8655,-8727,-8800
Office & Miscellaneous,-10000,-10091,-10182,-10273,-10364,-10455,-10545,-10636,-10727,-10818,-10909,-11000
Net Cash from Operating,76550,77245,77943,78638,79334,80027,80728,81421,82117,51128.55,51560.65,84205
Purchase of Equipment,0,-20000,0,0,0,0,-30000,0,0,0,-25000,0
Other Investing,0,0,0,0,0,0,0,0,0,0,0,0
Net Cash from Investing,0,-20000,0,0,0,0,-30000,0,0,0,-25000,0
Loan Repayment,-10000,0,0,-10000,0,0,-10000,0,0,-10000,0,0
Owner Distributions,0,0,0,0,0,0,0,0,0,0,0,0
Net Cash from Financing,-10000,0,0,-10000,0,0,-10000,0,0,-10000,0,0
Net Cash Flow,66550,57245,77943,68638,79334,80027,40728,81421,82117,41128.55,26560.65,84205